SPEC_ID,NAME,RA,DEC,Z,Quality,HB_score,HA_score,OIII_score,HB_width,HA_width,OIII_width,Std,Two_mad,Three_mad,Good_twomad,Good_threemad,Narrow_2si,Narrow_3si,Narrow_3si_6
33948,g0545515-180748,86.4645,-18.13005556,0.060618,4,0.980160263,0.523081781,0.385952473,4.603347031,3.524192441,0.14259619,0.211265545,0.198122651,0.297183977,true,true,true,true,true
33952,g0548497-172644,87.20704167,-17.4455,0.002982,4,0.227014482,1.048405971,0.729936864,3.375273066,4.660159842,0.33457932,0.074647771,0.062237901,0.093356852,true,true,true,true,true
33956,g0551061-174421,87.77554167,-17.73916667,0.028711,4,0.57899824,1.941623519,0.682414274,4.546669392,4.751354125,0.294262455,0.173631101,0.164876452,0.247314678,true,true,true,true,true
33967,g0555043-184620,88.76808333,-18.77211111,0.026942,4,2.139799777,0.590968341,4.455045216,4.494431009,3.008408925,2.215572037,0.180532926,0.096396708,0.144595062,true,true,true,true,true
33971,g0556327-182319,89.13633333,-18.38861111,0.026922,4,1.129168774,0.513962166,0.553651629,4.179671925,3.487313623,0.297391655,0.107138866,0.100746848,0.151120271,true,true,true,true,true
33981,g0550267-194333,87.61125,-19.72588889,0.00771,4,0.206004168,0.287382395,0.133561674,3.53846093,4.74009432,0.03202733,0.100915935,0.081671408,0.122507111,true,true,true,true,true
33991,g0559283-210707,89.86804167,-21.1185,0.027431,4,0.680883001,0.406366368,0.247989233,4.678018706,2.619722356,0.097079916,0.084914306,0.075162193,0.11274329,true,true,true,true,true
33995,g0553334-201601,88.38904167,-20.26683333,0.0283,4,0.3373945,0.333224635,0.265731013,4.183194333,3.062314273,0.099572926,0.085803359,0.074316381,0.111474571,true,true,true,true,true
34002,g0552200-212353,88.08345833,-21.39797222,0.036458,4,1.723433293,0.447852332,1.433162523,4.10983228,3.111845993,4.594959442,0.133318747,0.113604671,0.170407007,true,true,true,true,true
34007,g0551031-403901,87.762875,-40.65038889,0.082871,4,0.281479893,1.186323192,0.240921473,4.484308213,6.63937302,0.0712849,0.169276836,0.087731919,0.131597879,true,true,true,true,false
