SPEC_ID,NAME,RA,DEC,Z,Quality
23734,g0412277-160548,63.11558333,-16.09669444,0.062811,4
23736,g0408141-154205,62.05866667,-15.70125,0.077507,4
23737,g0413127-162444,63.30270833,-16.41213889,0.029496,4
23739,g0412358-163458,63.14929167,-16.58277778,0.082702,4
23740,g0412069-164124,63.02854167,-16.68994444,0.031736,4
23741,g0411342-164250,62.89233333,-16.71394444,0.094979,4
23742,g0406305-155524,61.62716667,-15.92322222,0.040284,4
23744,g0408329-164531,62.137,-16.75847222,0.040218,4
23745,g0401066-161543,60.27729167,-16.26197222,0.031515,4
23746,g0408540-170045,62.225,-17.01252778,0.028008,4
23747,g0404405-163013,61.16891667,-16.50366667,0.028886,4
23748,g0409587-173507,62.49466667,-17.58536111,0.040479,3
23749,g0408076-171134,62.03166667,-17.19288889,0.006086,4
23750,g0406281-161904,61.617125,-16.31780556,0.076146,4
23751,g0407557-172200,61.982,-17.36677778,0.142594,4
23752,g0402118-164837,60.54904167,-16.81033333,0.028536,4
23753,g0402316-164026,60.63166667,-16.67388889,0.055687,4
23754,g0406587-171014,61.744375,-17.17055556,0.140974,3
23755,g0406317-171915,61.63204167,-17.32072222,0.031244,4
23756,g0403187-171227,60.82775,-17.20761111,0.142619,4
23757,g0405390-173513,61.41254167,-17.58691667,0.027357,4
23758,g0405403-181858,61.41770833,-18.31605556,0.13757,4
23759,g0404061-165610,61.02554167,-16.93602778,0.063835,4
23760,g0405380-155146,61.40845833,-15.86280556,0.040847,4
23761,g0404297-175416,61.12375,-17.9045,0.026703,4
23762,g0402462-180519,60.6925,-18.08872222,0.041517,4
23763,g0400237-255952,60.09866667,-25.99783333,0.068675,4
23764,g0400264-251057,60.10979167,-25.18261111,0.013769,4
23770,g0400244-250044,60.10166667,-25.01230556,0.097508,4
23771,g0401131-242450,60.30458333,-24.414,0.041742,4
23773,g0400558-243620,60.23266667,-24.60547222,0.065536,4
23776,g0400458-241547,60.19095833,-24.26308333,0.041906,4
23781,g0402096-230042,60.53979167,-23.01177778,0.061925,4
23808,g0400376-223346,60.15666667,-22.56275,0.062229,4
23811,g0401247-212347,60.35295833,-21.3965,0.025345,4
23812,g0402365-213233,60.65225,-21.54261111,0.041326,4
23813,g0403035-215404,60.764375,-21.90097222,0.040495,4
23814,g0404255-204757,61.106125,-20.79905556,0.032186,4
23815,g0404331-210437,61.13795833,-21.07694444,0.03214,4
23816,g0402348-221823,60.64483333,-22.30630556,0.06624,4
23817,g0405284-213036,61.36829167,-21.50991667,0.032509,4
23818,g0406497-211022,61.70716667,-21.17263889,0.003098,4
23820,g0406409-213534,61.67054167,-21.59277778,0.04091,4
23821,g0407554-212237,61.98079167,-21.377,0.057078,4
23822,g0400549-224438,60.22870833,-22.74394444,0.062679,3
23823,g0408485-213236,62.20195833,-21.54319444,0.066609,4
23824,g0408508-214316,62.21183333,-21.72122222,0.014079,4
23825,g0409240-214960,62.35016667,-21.83327778,0.040287,4
23826,g0407400-223112,61.91670833,-22.51988889,0.105933,4
23827,g0410500-214722,62.70841667,-21.78933333,0.057208,4
23828,g0410473-215526,62.69708333,-21.92388889,0.014249,4
23829,g0407425-224255,61.927125,-22.71530556,0.032219,4
23830,g0409312-224660,62.37995833,-22.78327778,0.091099,4
23831,g0407548-230113,61.97829167,-23.02022222,0.041579,4
23832,g0412560-223827,63.23325,-22.64077778,0.104251,4
23833,g0409068-230722,62.27829167,-23.12263889,0.088612,4
23835,g0412411-230932,63.17133333,-23.15888889,0.002908,4
23836,g0410226-233701,62.59404167,-23.61694444,0.014077,4
23837,g0410592-234343,62.74658333,-23.72863889,0.05961,4
23838,g0413447-240114,63.43620833,-24.02044444,0.05933,4
23839,g0401383-224456,60.40970833,-22.74891667,0.061569,4
23840,g0401075-231748,60.28125,-23.29661111,0.066045,4
23841,g0408304-240403,62.126625,-24.06761111,0.105841,4
23842,g0407070-240830,61.77908333,-24.14163889,0.011246,4
23843,g0410494-243146,62.70566667,-24.52944444,0.065939,4
23844,g0408251-242041,62.10458333,-24.34466667,0.061175,4
23845,g0403359-234651,60.89958333,-23.78072222,0.062968,4
23846,g0410190-245724,62.57895833,-24.95666667,0.041447,4
23847,g0407272-244247,61.863125,-24.71313889,0.060088,4
23849,g0408438-250016,62.18233333,-25.00447222,0.125168,4
23850,g0406470-244317,61.69575,-24.72127778,0.041603,4
23851,g0404423-223949,61.17620833,-22.66369444,0.014587,4
23853,g0403322-244833,60.88433333,-24.80927778,0.078358,4
23854,g0404214-251159,61.08920833,-25.19969444,0.102759,4
23855,g0405008-255151,61.25345833,-25.86416667,0.070893,4
23856,g0403123-252754,60.801125,-25.46511111,0.086497,3
23858,g0400244-250044,60.10166667,-25.01230556,0.097411,4
23867,g0400099-244752,60.04129167,-24.79780556,0.076326,3
23870,g0400549-224438,60.22870833,-22.74394444,0.062427,4
23902,g0400376-223346,60.15666667,-22.56275,0.062167,4
23906,g0400032-220260,60.01333333,-22.04994444,0.164912,4
23908,g0401383-224456,60.40970833,-22.74891667,0.061613,4
23910,g0401247-212347,60.35295833,-21.3965,0.02555,4
23911,g0403034-212818,60.76416667,-21.47177778,0.040305,4
23912,g0403035-215404,60.764375,-21.90097222,0.041352,4
23913,g0404255-204757,61.106125,-20.79905556,0.032371,4
23914,g0404331-210437,61.13795833,-21.07694444,0.032144,4
23915,g0402348-221823,60.64483333,-22.30630556,0.066317,4
